Date,Close,High,Low,Open,Volume,Stock
,MSFT,MSFT,MSFT,MSFT,MSFT,
2023-12-18,369.1438293457031,369.4905423350022,365.21118080921997,365.9739554317672,21802900,MSFT
2023-12-19,369.74810791015625,369.74810791015625,366.36027245806446,367.9947420109948,20603700,MSFT
2023-12-20,367.1329650878906,372.4920679743351,367.0438154931247,371.47176008252643,26316700,MSFT
2023-12-21,370.0254821777344,370.8872917707244,366.5584126323143,369.0546918220557,17708000,MSFT
2023-12-22,371.0556945800781,371.6500554361655,369.20329359245756,370.16416841117154,17091100,MSFT
2023-12-26,371.13494873046875,373.393495737859,369.98585916804944,371.47174615266005,12673100,MSFT
2023-12-27,370.550537109375,371.5312129344826,369.30238225527376,370.1741075355698,14905400,MSFT
2023-12-28,371.7491149902344,372.9180055102288,370.6396575319042,371.83826458273074,14327000,MSFT
2023-12-29,372.5019836425781,373.61144112939365,369.96607217829995,372.46235152363494,18723000,MSFT
2024-01-02,367.3806457519531,372.3633195298243,363.3192147660882,370.34250450989776,25258600,MSFT
2024-01-03,367.1131591796875,369.7481357898977,365.04282689247566,365.5381225658885,23083500,MSFT
2024-01-04,364.4781799316406,369.5896348719219,363.71543548306664,367.1825051718643,20901500,MSFT
2024-01-05,364.28997802734375,368.559424433647,363.0517388090319,365.4985007136341,20987000,MSFT
2024-01-08,371.1646728515625,371.66988411040546,365.53812127674354,365.8253710003868,23134000,MSFT
2024-01-09,372.2543029785156,372.4524030948654,367.69757707621847,368.50986917545833,20830000,MSFT
2024-01-10,379.16864013671875,380.5554922110054,372.7793440678221,372.8288615431399,25514200,MSFT
2024-01-11,381.0111389160156,387.0042042259602,376.80112586493703,382.3682441685505,27850800,MSFT
2024-01-12,384.8150329589844,385.0230486833725,381.03096664819185,381.8630597761942,21645700,MSFT
2024-01-16,386.59808349609375,390.32271672497956,383.9730224089054,389.9562027545636,27202300,MSFT
2024-01-17,385.8056640625,386.43962688844755,381.1895041483633,384.3296924343439,22234100,MSFT
2024-01-18,390.1641845703125,390.2830506876362,386.44946725171263,388.034419353738,23392100,MSFT
2024-01-19,394.9190673828125,394.9190673828125,389.7976967944334,392.0364429224476,29272000,MSFT
2024-01-22,392.7794189453125,396.8507352261163,389.8868786582818,396.2563743199646,27016900,MSFT
2024-01-23,395.1468505859375,395.6223452773298,390.22361077691727,392.0264941391943,20525900,MSFT
2024-01-24,398.7724609375,401.81358370975624,396.68232764982235,397.7620686193911,24867000,MSFT
2024-01-25,401.0606994628906,403.18057938018296,398.7427194215606,400.5158863337274,21021200,MSFT
2024-01-26,400.1295471191406,402.34849224643625,398.6436601299057,400.5654097210854,17803300,MSFT
